data_id,treat,age,educ,black,hisp,marr,nodegree,re74,re75,re78,agesq,agecube,educsq,educcube,u74,u75,educ_re74,re74sq,re75sq,hisp_u74
Dehejia-Wahba Sample,1,37,11,1,0,1,1,0,0,9930.0459,1369,50653,121,1331,1,1,0,0,0,0
Dehejia-Wahba Sample,1,22,9,0,1,0,1,0,0,3595.894,484,10648,81,729,1,1,0,0,0,1
Dehejia-Wahba Sample,1,30,12,1,0,0,0,0,0,24909.449,900,27000,144,1728,1,1,0,0,0,0
Dehejia-Wahba Sample,1,27,11,1,0,0,1,0,0,7506.146,729,19683,121,1331,1,1,0,0,0,0
Dehejia-Wahba Sample,1,33,8,1,0,0,1,0,0,289.78989,1089,35937,64,512,1,1,0,0,0,0
Dehejia-Wahba Sample,1,22,9,1,0,0,1,0,0,4056.4939,484,10648,81,729,1,1,0,0,0,0
Dehejia-Wahba Sample,1,23,12,1,0,0,0,0,0,0,529,12167,144,1728,1,1,0,0,0,0
Dehejia-Wahba Sample,1,32,11,1,0,0,1,0,0,8472.1582,1024,32768,121,1331,1,1,0,0,0,0
Dehejia-Wahba Sample,1,22,16,1,0,0,0,0,0,2164.022,484,10648,256,4096,1,1,0,0,0,0
Dehejia-Wahba Sample,1,33,12,0,0,1,0,0,0,12418.07,1089,35937,144,1728,1,1,0,0,0,0
Dehejia-Wahba Sample,1,19,9,1,0,0,1,0,0,8173.9082,361,6859,81,729,1,1,0,0,0,0
Dehejia-Wahba Sample,1,21,13,1,0,0,0,0,0,17094.641,441,9261,169,2197,1,1,0,0,0,0
Dehejia-Wahba Sample,1,18,8,1,0,0,1,0,0,0,324,5832,64,512,1,1,0,0,0,0
Dehejia-Wahba Sample,1,27,10,1,0,1,1,0,0,18739.93,729,19683,100,1000,1,1,0,0,0,0
Dehejia-Wahba Sample,1,17,7,1,0,0,1,0,0,3023.8789,289,4913,49,343,1,1,0,0,0,0
Dehejia-Wahba Sample,1,19,10,1,0,0,1,0,0,3228.5029,361,6859,100,1000,1,1,0,0,0,0
Dehejia-Wahba Sample,1,27,13,1,0,0,0,0,0,14581.86,729,19683,169,2197,1,1,0,0,0,0
Dehejia-Wahba Sample,1,23,10,1,0,0,1,0,0,7693.3999,529,12167,100,1000,1,1,0,0,0,0
Dehejia-Wahba Sample,1,40,12,1,0,0,0,0,0,10804.32,1600,64000,144,1728,1,1,0,0,0,0
Dehejia-Wahba Sample,1,26,12,1,0,0,0,0,0,10747.35,676,17576,144,1728,1,1,0,0,0,0
Dehejia-Wahba Sample,1,23,11,1,0,0,1,0,0,0,529,12167,121,1331,1,1,0,0,0,0
Dehejia-Wahba Sample,1,41,14,0,0,0,0,0,0,5149.501,1681,68921,196,2744,1,1,0,0,0,0
Dehejia-Wahba Sample,1,38,9,0,0,0,1,0,0,6408.9502,1444,54872,81,729,1,1,0,0,0,0
Dehejia-Wahba Sample,1,24,11,1,0,0,1,0,0,1991.4,576,13824,121,1331,1,1,0,0,0,0
Dehejia-Wahba Sample,1,18,10,1,0,0,1,0,0,11163.17,324,5832,100,1000,1,1,0,0,0,0
Dehejia-Wahba Sample,1,29,11,1,0,1,1,0,0,9642.999,841,24389,121,1331,1,1,0,0,0,0
Dehejia-Wahba Sample,1,25,11,1,0,0,1,0,0,9897.0488,625,15625,121,1331,1,1,0,0,0,0
Dehejia-Wahba Sample,1,27,10,0,1,0,1,0,0,11142.87,729,19683,100,1000,1,1,0,0,0,1
Dehejia-Wahba Sample,1,17,10,1,0,0,1,0,0,16218.04,289,4913,100,1000,1,1,0,0,0,0
Dehejia-Wahba Sample,1,24,11,1,0,0,1,0,0,995.7002,576,13824,121,1331,1,1,0,0,0,0
Dehejia-Wahba Sample,1,17,10,1,0,0,1,0,0,0,289,4913,100,1000,1,1,0,0,0,0
Dehejia-Wahba Sample,1,48,4,1,0,0,1,0,0,6551.5918,2304,110592,16,64,1,1,0,0,0,0
Dehejia-Wahba Sample,1,25,11,1,0,1,1,0,0,1574.424,625,15625,121,1331,1,1,0,0,0,0
Dehejia-Wahba Sample,1,20,12,1,0,0,0,0,0,0,400,8000,144,1728,1,1,0,0,0,0
Dehejia-Wahba Sample,1,25,12,1,0,0,0,0,0,3191.7529,625,15625,144,1728,1,1,0,0,0,0
Dehejia-Wahba Sample,1,42,14,1,0,0,0,0,0,20505.93,1764,74088,196,2744,1,1,0,0,0,0
Dehejia-Wahba Sample,1,25,5,1,0,0,1,0,0,6181.8799,625,15625,25,125,1,1,0,0,0,0
Dehejia-Wahba Sample,1,23,12,1,0,1,0,0,0,5911.5508,529,12167,144,1728,1,1,0,0,0,0
Dehejia-Wahba Sample,1,46,8,1,0,1,1,0,0,3094.156,2116,97336,64,512,1,1,0,0,0,0
Dehejia-Wahba Sample,1,24,10,1,0,0,1,0,0,0,576,13824,100,1000,1,1,0,0,0,0
Dehejia-Wahba Sample,1,21,12,1,0,0,0,0,0,1254.582,441,9261,144,1728,1,1,0,0,0,0
Dehejia-Wahba Sample,1,19,9,0,0,0,1,0,0,13188.83,361,6859,81,729,1,1,0,0,0,0
Dehejia-Wahba Sample,1,17,8,1,0,0,1,0,0,8061.4849,289,4913,64,512,1,1,0,0,0,0
Dehejia-Wahba Sample,1,18,8,0,1,1,1,0,0,2787.96,324,5832,64,512,1,1,0,0,0,1
Dehejia-Wahba Sample,1,20,11,1,0,0,1,0,0,3972.54,400,8000,121,1331,1,1,0,0,0,0
Dehejia-Wahba Sample,1,25,11,1,0,1,1,0,0,0,625,15625,121,1331,1,1,0,0,0,0
Dehejia-Wahba Sample,1,17,8,1,0,0,1,0,0,0,289,4913,64,512,1,1,0,0,0,0
Dehejia-Wahba Sample,1,17,9,1,0,0,1,0,0,0,289,4913,81,729,1,1,0,0,0,0
Dehejia-Wahba Sample,1,25,5,1,0,0,1,0,0,12187.41,625,15625,25,125,1,1,0,0,0,0
Dehejia-Wahba Sample,1,23,12,1,0,0,0,0,0,4843.1758,529,12167,144,1728,1,1,0,0,0,0
Dehejia-Wahba Sample,1,28,8,1,0,0,1,0,0,0,784,21952,64,512,1,1,0,0,0,0
Dehejia-Wahba Sample,1,31,11,1,0,1,1,0,0,8087.4868,961,29791,121,1331,1,1,0,0,0,0
Dehejia-Wahba Sample,1,18,11,1,0,0,1,0,0,0,324,5832,121,1331,1,1,0,0,0,0
Dehejia-Wahba Sample,1,25,12,1,0,0,0,0,0,2348.9729,625,15625,144,1728,1,1,0,0,0,0
Dehejia-Wahba Sample,1,30,11,1,0,1,1,0,0,590.7818,900,27000,121,1331,1,1,0,0,0,0
Dehejia-Wahba Sample,1,17,10,1,0,0,1,0,0,0,289,4913,100,1000,1,1,0,0,0,0
Dehejia-Wahba Sample,1,37,9,1,0,0,1,0,0,1067.506,1369,50653,81,729,1,1,0,0,0,0
Dehejia-Wahba Sample,1,41,4,1,0,1,1,0,0,7284.9858,1681,68921,16,64,1,1,0,0,0,0
Dehejia-Wahba Sample,1,42,14,1,0,1,0,0,0,13167.52,1764,74088,196,2744,1,1,0,0,0,0
Dehejia-Wahba Sample,1,22,11,0,0,0,1,0,0,1048.432,484,10648,121,1331,1,1,0,0,0,0
Dehejia-Wahba Sample,1,17,8,1,0,0,1,0,0,0,289,4913,64,512,1,1,0,0,0,0
Dehejia-Wahba Sample,1,29,8,1,0,0,1,0,0,1923.938,841,24389,64,512,1,1,0,0,0,0
Dehejia-Wahba Sample,1,35,10,1,0,0,1,0,0,4666.2358,1225,42875,100,1000,1,1,0,0,0,0
Dehejia-Wahba Sample,1,27,11,1,0,0,1,0,0,549.2984,729,19683,121,1331,1,1,0,0,0,0
Dehejia-Wahba Sample,1,29,4,1,0,0,1,0,0,762.91461,841,24389,16,64,1,1,0,0,0,0
Dehejia-Wahba Sample,1,28,9,1,0,0,1,0,0,10694.29,784,21952,81,729,1,1,0,0,0,0
Dehejia-Wahba Sample,1,27,11,1,0,0,1,0,0,0,729,19683,121,1331,1,1,0,0,0,0
Dehejia-Wahba Sample,1,23,7,0,0,0,1,0,0,0,529,12167,49,343,1,1,0,0,0,0
Dehejia-Wahba Sample,1,45,5,1,0,1,1,0,0,8546.7148,2025,91125,25,125,1,1,0,0,0,0
Dehejia-Wahba Sample,1,29,13,1,0,0,0,0,0,7479.6558,841,24389,169,2197,1,1,0,0,0,0
Dehejia-Wahba Sample,1,27,9,1,0,0,1,0,0,0,729,19683,81,729,1,1,0,0,0,0
Dehejia-Wahba Sample,1,46,13,1,0,0,0,0,0,647.20459,2116,97336,169,2197,1,1,0,0,0,0
Dehejia-Wahba Sample,1,18,6,1,0,0,1,0,0,0,324,5832,36,216,1,1,0,0,0,0
Dehejia-Wahba Sample,1,25,12,1,0,0,0,0,0,11965.81,625,15625,144,1728,1,1,0,0,0,0
Dehejia-Wahba Sample,1,28,15,1,0,0,0,0,0,9598.541,784,21952,225,3375,1,1,0,0,0,0
Dehejia-Wahba Sample,1,25,11,0,0,0,1,0,0,18783.35,625,15625,121,1331,1,1,0,0,0,0
Dehejia-Wahba Sample,1,22,12,1,0,0,0,0,0,18678.08,484,10648,144,1728,1,1,0,0,0,0
Dehejia-Wahba Sample,1,21,9,1,0,0,1,0,0,0,441,9261,81,729,1,1,0,0,0,0
Dehejia-Wahba Sample,1,40,11,1,0,0,1,0,0,23005.6,1600,64000,121,1331,1,1,0,0,0,0
Dehejia-Wahba Sample,1,22,11,1,0,0,1,0,0,6456.6968,484,10648,121,1331,1,1,0,0,0,0
Dehejia-Wahba Sample,1,25,12,1,0,0,0,0,0,0,625,15625,144,1728,1,1,0,0,0,0
Dehejia-Wahba Sample,1,18,12,1,0,0,0,0,0,2321.1069,324,5832,144,1728,1,1,0,0,0,0
Dehejia-Wahba Sample,1,38,12,0,0,0,0,0,0,4941.8491,1444,54872,144,1728,1,1,0,0,0,0
Dehejia-Wahba Sample,1,27,13,1,0,0,0,0,0,0,729,19683,169,2197,1,1,0,0,0,0
Dehejia-Wahba Sample,1,27,8,1,0,0,1,0,0,0,729,19683,64,512,1,1,0,0,0,0
Dehejia-Wahba Sample,1,38,11,1,0,0,1,0,0,0,1444,54872,121,1331,1,1,0,0,0,0
Dehejia-Wahba Sample,1,23,8,0,1,0,1,0,0,3881.2839,529,12167,64,512,1,1,0,0,0,1
Dehejia-Wahba Sample,1,26,11,1,0,0,1,0,0,17230.961,676,17576,121,1331,1,1,0,0,0,0
Dehejia-Wahba Sample,1,21,12,0,0,0,0,0,0,8048.603,441,9261,144,1728,1,1,0,0,0,0
Dehejia-Wahba Sample,1,25,8,1,0,0,1,0,0,0,625,15625,64,512,1,1,0,0,0,0
Dehejia-Wahba Sample,1,31,11,1,0,1,1,0,0,14509.93,961,29791,121,1331,1,1,0,0,0,0
Dehejia-Wahba Sample,1,17,10,1,0,0,1,0,0,0,289,4913,100,1000,1,1,0,0,0,0
Dehejia-Wahba Sample,1,25,11,1,0,0,1,0,0,0,625,15625,121,1331,1,1,0,0,0,0
Dehejia-Wahba Sample,1,21,12,1,0,0,0,0,0,9983.7842,441,9261,144,1728,1,1,0,0,0,0
Dehejia-Wahba Sample,1,44,11,1,0,0,1,0,0,0,1936,85184,121,1331,1,1,0,0,0,0
Dehejia-Wahba Sample,1,25,12,0,0,0,0,0,0,5587.5029,625,15625,144,1728,1,1,0,0,0,0
Dehejia-Wahba Sample,1,18,9,1,0,0,1,0,0,4482.8452,324,5832,81,729,1,1,0,0,0,0
Dehejia-Wahba Sample,1,42,12,1,0,0,0,0,0,2456.1531,1764,74088,144,1728,1,1,0,0,0,0
Dehejia-Wahba Sample,1,25,10,1,0,0,1,0,0,0,625,15625,100,1000,1,1,0,0,0,0
Dehejia-Wahba Sample,1,31,9,0,1,0,1,0,0,26817.6,961,29791,81,729,1,1,0,0,0,1
Dehejia-Wahba Sample,1,24,10,1,0,0,1,0,0,0,576,13824,100,1000,1,1,0,0,0,0
Dehejia-Wahba Sample,1,26,10,1,0,0,1,0,0,9265.7881,676,17576,100,1000,1,1,0,0,0,0
Dehejia-Wahba Sample,1,25,11,1,0,0,1,0,0,485.2298,625,15625,121,1331,1,1,0,0,0,0
Dehejia-Wahba Sample,1,18,11,1,0,0,1,0,0,4814.627,324,5832,121,1331,1,1,0,0,0,0
Dehejia-Wahba Sample,1,19,11,1,0,0,1,0,0,7458.105,361,6859,121,1331,1,1,0,0,0,0
Dehejia-Wahba Sample,1,43,9,1,0,0,1,0,0,0,1849,79507,81,729,1,1,0,0,0,0
Dehejia-Wahba Sample,1,27,13,1,0,0,0,0,0,34099.281,729,19683,169,2197,1,1,0,0,0,0
Dehejia-Wahba Sample,1,17,9,1,0,0,1,0,0,1953.2679,289,4913,81,729,1,1,0,0,0,0
Dehejia-Wahba Sample,1,30,11,1,0,0,1,0,0,0,900,27000,121,1331,1,1,0,0,0,0
Dehejia-Wahba Sample,1,26,10,1,0,1,1,2027.999,0,0,676,17576,100,1000,0,1,20279.99,4112780,0,0
Dehejia-Wahba Sample,1,20,9,1,0,0,1,6083.9941,0,8881.665,400,8000,81,729,0,1,54755.945,37014984,0,0
Dehejia-Wahba Sample,1,17,9,0,1,0,1,445.17041,74.343452,6210.6699,289,4913,81,729,0,0,4006.5337,198176.69,5526.9487,0
Dehejia-Wahba Sample,1,20,12,1,0,0,0,989.26782,165.2077,0,400,8000,144,1728,0,0,11871.214,978650.81,27293.586,0
Dehejia-Wahba Sample,1,18,11,1,0,0,1,858.25427,214.5636,929.88391,324,5832,121,1331,0,0,9440.7969,736600.38,46037.539,0
Dehejia-Wahba Sample,1,27,12,1,0,1,0,3670.8721,334.04929,0,729,19683,144,1728,0,0,44050.465,13475302,111588.92,0
Dehejia-Wahba Sample,1,21,12,0,0,0,0,3670.8721,334.04941,12558.02,441,9261,144,1728,0,0,44050.465,13475302,111589.01,0
Dehejia-Wahba Sample,1,27,12,1,0,0,0,2143.4131,357.94989,22163.25,729,19683,144,1728,0,0,25720.957,4594219.5,128128.13,0
Dehejia-Wahba Sample,1,20,12,1,0,0,0,0,377.5686,1652.637,400,8000,144,1728,1,0,0,0,142558.05,0
Dehejia-Wahba Sample,1,19,10,1,0,0,1,0,385.27411,8124.7148,361,6859,100,1000,1,0,0,0,148436.14,0
Dehejia-Wahba Sample,1,23,12,1,0,0,0,5506.3081,501.0741,671.33179,529,12167,144,1728,0,0,66075.695,30319428,251075.25,0
Dehejia-Wahba Sample,1,29,14,1,0,0,0,0,679.6734,17814.98,841,24389,196,2744,1,0,0,0,461955.94,0
Dehejia-Wahba Sample,1,18,10,1,0,0,1,0,798.9079,9737.1543,324,5832,100,1000,1,0,0,0,638253.81,0
Dehejia-Wahba Sample,1,19,9,1,0,0,1,0,798.9079,17685.18,361,6859,81,729,1,0,0,0,638253.81,0
Dehejia-Wahba Sample,1,27,13,0,0,1,0,9381.5664,853.72247,0,729,19683,169,2197,0,0,121960.36,88013792,728842.06,0
Dehejia-Wahba Sample,1,18,11,0,0,0,1,3678.231,919.55792,4321.7051,324,5832,121,1331,0,0,40460.539,13529383,845586.75,0
Dehejia-Wahba Sample,1,27,9,1,0,1,1,0,934.44537,1773.423,729,19683,81,729,1,0,0,0,873188.13,0
Dehejia-Wahba Sample,1,22,12,1,0,0,0,5605.8521,936.17731,0,484,10648,144,1728,0,0,67270.227,31425578,876427.94,0
Dehejia-Wahba Sample,1,23,10,1,0,1,1,0,936.4386,11233.26,529,12167,100,1000,1,0,0,0,876917.25,0
Dehejia-Wahba Sample,1,23,12,0,1,0,0,9385.7402,1117.439,559.44318,529,12167,144,1728,0,0,112628.88,88092120,1248669.9,0
Dehejia-Wahba Sample,1,20,11,1,0,0,1,3637.498,1220.8361,1085.4399,400,8000,121,1331,0,0,40012.477,13231392,1490440.6,0
Dehejia-Wahba Sample,1,17,9,1,0,0,1,1716.509,1253.439,5445.2002,289,4913,81,729,0,0,15448.581,2946403.3,1571109.3,0
Dehejia-Wahba Sample,1,28,11,1,0,0,1,0,1284.079,60307.93,784,21952,121,1331,1,0,0,0,1648858.9,0
Dehejia-Wahba Sample,1,26,11,1,0,1,1,0,1392.853,1460.36,676,17576,121,1331,1,0,0,0,1940039.5,0
Dehejia-Wahba Sample,1,20,11,1,0,0,1,16318.62,1484.994,6943.3418,400,8000,121,1331,0,0,179504.83,266297360,2205207.3,0
Dehejia-Wahba Sample,1,24,11,1,0,1,1,824.38861,1666.113,4032.708,576,13824,121,1331,0,0,9068.2744,679616.56,2775932.8,0
Dehejia-Wahba Sample,1,31,9,1,0,0,1,0,1698.6071,10363.27,961,29791,81,729,1,0,0,0,2885266,0
Dehejia-Wahba Sample,1,23,8,0,0,1,1,0,1713.15,4232.3091,529,12167,64,512,1,0,0,0,2934883,0
Dehejia-Wahba Sample,1,18,10,1,0,0,1,2143.4109,1784.274,11141.39,324,5832,100,1000,0,0,21434.109,4594210,3183634,0
Dehejia-Wahba Sample,1,29,12,1,0,0,0,10881.94,1817.2841,0,841,24389,144,1728,0,0,130583.28,118416624,3302521.3,0
Dehejia-Wahba Sample,1,26,11,0,0,0,1,0,2226.2661,13385.86,676,17576,121,1331,1,0,0,0,4956261,0
Dehejia-Wahba Sample,1,24,9,1,0,0,1,9154.7002,2288.675,4849.5591,576,13824,81,729,0,0,82392.305,83808536,5238033.5,0
Dehejia-Wahba Sample,1,25,12,1,0,0,0,14426.79,2409.2739,0,625,15625,144,1728,0,0,173121.48,208132272,5804601,0
Dehejia-Wahba Sample,1,24,10,1,0,0,1,4250.4019,2421.947,1660.5081,576,13824,100,1000,0,0,42504.02,18065916,5865827.5,0
Dehejia-Wahba Sample,1,46,8,1,0,0,1,3165.658,2594.7229,0,2116,97336,64,512,0,0,25325.264,10021390,6732587,0
Dehejia-Wahba Sample,1,31,12,0,0,0,0,0,2611.218,2484.5491,961,29791,144,1728,1,0,0,0,6818459.5,0
Dehejia-Wahba Sample,1,19,11,1,0,0,1,2305.0259,2615.2759,4146.603,361,6859,121,1331,0,0,25355.285,5313144.5,6839668,0
Dehejia-Wahba Sample,1,19,8,1,0,0,1,0,2657.0569,9970.6807,361,6859,64,512,1,0,0,0,7059951.5,0
Dehejia-Wahba Sample,1,27,11,1,0,0,1,2206.9399,2666.2739,0,729,19683,121,1331,0,0,24276.34,4870584,7109016.5,0
Dehejia-Wahba Sample,1,26,11,1,0,1,1,0,2754.646,26372.279,676,17576,121,1331,1,0,0,0,7588074.5,0
